annee;insee;commune;dep;distinction;mention;adresse01;adresse02;adresse03;adresse04_cpostal;adresse05_commune;url;geo_point;image_label;latitude;longitude
2021;95197;Rueil-Malmaison;92.0;Encouragement du jury;;Hôtel de ville;13 boulevard du Maréchal-Foch;;92501.0;Rueil-Malmaison Cedex;http://www.villederueil.fr;48.8782251,2.1804689;;48.8782251;2.1804689
2021;78350;Gagny;93.0;1 patte;;Hôtel de ville;1 place Foch;;93220.0;Gagny;http://www.gagny.fr;48.8850756,2.5362686;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.8850756;2.5362686
2021;91691;Yerres;91.0;2 pattes;;Hôtel de ville;60 rue Charles-de-Gaulle;;91335.0;Yerres Cedex;http://www.yerres.fr;48.7167015076,2.48762011528;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux2Pattes.png;48.7167015076;2.48762011528
2021;92023;Chennevières-sur-Marne;94.0;2 pattes;;Hôtel de ville;14 avenue du Maréchal-Leclerc;;94430.0;Chennevières-sur-Marne;http://www.chennevieres.com;48.7962989807,2.53309988976;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux2Pattes.png;48.7962989807;2.53309988976
2021;93015;Levallois-Perret;92.0;3 pattes;;Hôtel de ville;1 place de la République;;92300.0;Levallois;http://www.ville-levallois.fr;48.8931616,2.2886643;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux3Pattes.png;48.8931616;2.2886643
2021;94017;Boutigny-sur-Essonne;91.0;Encouragement du jury;;Hôtel de ville;11 boulevard Maurice-Ouin;;91820.0;Boutigny-sur-Essonne;http://www.boutignysuressonne.fr;48.437525,2.380754;;48.437525;2.380754
2021;95428;Deuil-La-Barre;95.0;Encouragement du jury;;Hôtel de ville;36 rue Charles-de-Gaulle;;95170.0;Deuil-la-Barre;http://www.mairie-deuillabarre.fr;48.975381,2.328438;;48.975381;2.328438
2021;77047;Chelles;77.0;1 patte;;Hôtel de ville;Parc du Souvenir-Émile-Fouchard;;77505.0;Chelles Cedex;https://www.chelles.fr/;49.0866787,1.8963993;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;49.0866787;1.8963993
2021;91114;Saint-Mandé;94.0;1 patte;;Hôtel de ville;10 place Charles-Digeon;;94160.0;Saint-Mandé;http://www.mairie-saint-mande.fr;48.8435334,2.4189588;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.8435334;2.4189588
2021;91570;Brunoy;91.0;2 pattes;;Hôtel de ville;Place de la Mairie;BP 83;91805.0;Brunoy;http://www.brunoy.fr;48.6978398,2.5041465;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux2Pattes.png;48.6978398;2.5041465
